Time=180000 | clk=0 | rf_portA=0100011011011111 | rf_portB=0011001011000011 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0100011011011111 | opnY=0011001011000011
Time=185000 | clk=1 | rf_portA=0100011011011111 | rf_portB=0011001011000011 | net_stream=0 | confSig=110 | confLoad=0 * opnX=0100011011011111 | opnY=0011001011000011
Time=190000 | clk=0 | rf_portA=0010110101000101 | rf_portB=0001101011100111 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0010110101000101 | opnY=0001101011100111
Time=195000 | clk=1 | rf_portA=0010110101000101 | rf_portB=0001101011100111 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0010110101000101 | opnY=0001101011100111
Time=200000 | clk=0 | rf_portA=0101111100001110 | rf_portB=1111001000110011 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0101111100001110 | opnY=1111001000110011
Time=205000 | clk=1 | rf_portA=0101111100001110 | rf_portB=1111001000110011 | net_stream=0 | confSig=000 | confLoad=0 * opnX=0101111100001110 | opnY=1111001000110011
Time=210000 | clk=0 | rf_portA=1011110101100010 | rf_portB=0000010001001101 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1011110101100010 | opnY=0000010001001101
Time=215000 | clk=1 | rf_portA=1011110101100010 | rf_portB=0000010001001101 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1011110101100010 | opnY=0000010001001101
Time=220000 | clk=0 | rf_portA=1111110001111100 | rf_portB=0010011101110111 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1111110001111100 | opnY=0010011101110111
Time=225000 | clk=1 | rf_portA=1111110001111100 | rf_portB=0010011101110111 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1111110001111100 | opnY=0010011101110111
Time=230000 | clk=0 | rf_portA=0100000100101000 | rf_portB=0110001111110011 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0100000100101000 | opnY=0110001111110011
Time=235000 | clk=1 | rf_portA=0100000100101000 | rf_portB=0110001111110011 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0100000100101000 | opnY=0110001111110011
Time=240000 | clk=0 | rf_portA=1111100011010010 | rf_portB=0000100000000101 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1111100011010010 | opnY=0000100000000101
Time=245000 | clk=1 | rf_portA=1111100011010010 | rf_portB=0000100000000101 | net_stream=0 | confSig=101 | confLoad=0 * opnX=1111100011010010 | opnY=0000100000000101
Time=250000 | clk=0 | rf_portA=1000000011010100 | rf_portB=1010110110110100 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1000000011010100 | opnY=1010110110110100
Time=255000 | clk=1 | rf_portA=1000000011010100 | rf_portB=1010110110110100 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1000000011010100 | opnY=1010110110110100
Time=260000 | clk=0 | rf_portA=0100101011111111 | rf_portB=1111111111111100 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0100101011111111 | opnY=1111111111111100
Time=265000 | clk=1 | rf_portA=0100101011111111 | rf_portB=1111111111111100 | net_stream=0 | confSig=010 | confLoad=0 * opnX=0100101011111111 | opnY=1111111111111100
